id: KIIP_economy_1 (0), answer: C, pred: B, response: B
id: KIIP_economy_12 (1), answer: A, pred: A, response: A
id: KIIP_economy_12 (2), answer: A, pred: A, response: A
id: KIIP_economy_13 (0), answer: C, pred: C, response: C
id: KIIP_economy_13 (1), answer: C, pred: C, response: C
id: KIIP_economy_13 (2), answer: C, pred: C, response: C
id: KIIP_economy_14 (0), answer: C, pred: C, response: C
id: KIIP_economy_14 (1), answer: C, pred: C, response: C
id: KIIP_economy_14 (2), answer: C, pred: C, response: C
id: KIIP_economy_15 (0), answer: D, pred: D, response: D
id: KIIP_economy_15 (1), answer: D, pred: D, response: D
id: KIIP_economy_15 (2), answer: D, pred: D, response: D
id: KIIP_economy_16 (0), answer: A, pred: A, response: A
id: KIIP_economy_16 (1), answer: A, pred: A, response: A
id: KIIP_economy_16 (2), answer: A, pred: A, response: A
id: KIIP_economy_17 (0), answer: A, pred: A, response: A
id: KIIP_economy_17 (1), answer: A, pred: A, response: A
id: KIIP_economy_17 (2), answer: A, pred: A, response: A
id: KIIP_economy_18 (0), answer: C, pred: C, response: C
id: KIIP_economy_18 (1), answer: C, pred: C, response: C
id: KIIP_economy_18 (2), answer: C, pred: C, response: C
id: KIIP_economy_19 (0), answer: A, pred: A, response: A
id: KIIP_economy_19 (1), answer: A, pred: A, response: A
id: KIIP_economy_19 (2), answer: A, pred: A, response: A
id: KIIP_economy_20 (0), answer: B, pred: B, response: B
id: KIIP_economy_20 (1), answer: B, pred: B, response: B
id: KIIP_economy_20 (2), answer: B, pred: B, response: B
id: KIIP_economy_21 (0), answer: B, pred: B, response: B: APEC
id: KIIP_economy_21 (1), answer: B, pred: B, response: B
id: KIIP_economy_21 (2), answer: B, pred: B, response: B
id: KIIP_economy_22 (0), answer: C, pred: C, response: C
id: KIIP_economy_22 (1), answer: C, pred: C, response: C
id: KIIP_economy_22 (2), answer: C, pred: C, response: C
id: KIIP_economy_23 (0), answer: C, pred: C, response: C
id: KIIP_economy_23 (1), answer: C, pred: C, response: C
id: KIIP_economy_23 (2), answer: C, pred: C, response: C
id: KIIP_economy_24 (0), answer: B, pred: B, response: B
id: KIIP_economy_24 (1), answer: B, pred: B, response: B
id: KIIP_economy_24 (2), answer: B, pred: B, response: B
id: KIIP_economy_25 (0), answer: A, pred: A, response: A
id: KIIP_economy_25 (1), answer: A, pred: A, response: A
id: KIIP_economy_25 (2), answer: A, pred: A, response: A
id: KIIP_economy_26 (0), answer: C, pred: C, response: C
id: KIIP_economy_26 (1), answer: C, pred: C, response: C
id: KIIP_economy_26 (2), answer: C, pred: C, response: C
id: KIIP_economy_27 (0), answer: A, pred: A, response: A
id: KIIP_economy_27 (1), answer: A, pred: A, response: A
id: KIIP_economy_27 (2), answer: A, pred: A, response: A
id: KIIP_economy_28 (0), answer: D, pred: D, response: D
id: KIIP_economy_28 (1), answer: D, pred: D, response: D
id: KIIP_economy_28 (2), answer: D, pred: D, response: D
id: KIIP_economy_29 (0), answer: A, pred: A, response: A
id: KIIP_economy_29 (1), answer: A, pred: A, response: A
id: KIIP_economy_29 (2), answer: A, pred: A, response: A
id: KIIP_economy_30 (0), answer: A, pred: A, response: A
id: KIIP_economy_30 (1), answer: A, pred: A, response: A
id: KIIP_economy_30 (2), answer: A, pred: A, response: A
id: KIIP_economy_31 (0), answer: A, pred: A, response: A
id: KIIP_economy_31 (1), answer: A, pred: A, response: A
id: KIIP_economy_31 (2), answer: A, pred: A, response: A
id: KIIP_economy_32 (0), answer: A, pred: A, response: A
id: KIIP_economy_32 (1), answer: A, pred: A, response: A
id: KIIP_economy_32 (2), answer: A, pred: A, response: A
id: KIIP_economy_33 (0), answer: A, pred: A, response: A
id: KIIP_economy_33 (1), answer: A, pred: A, response: A
id: KIIP_economy_33 (2), answer: A, pred: A, response: A
id: KIIP_economy_34 (0), answer: A, pred: A, response: A
id: KIIP_economy_34 (1), answer: A, pred: A, response: A
id: KIIP_economy_34 (2), answer: A, pred: A, response: A
id: KIIP_economy_35 (0), answer: A, pred: A, response: A
id: KIIP_economy_35 (1), answer: A, pred: A, response: A
id: KIIP_economy_35 (2), answer: A, pred: A, response: A
id: KIIP_economy_36 (0), answer: C, pred: C, response: C
id: KIIP_economy_36 (1), answer: C, pred: C, response: C
id: KIIP_economy_36 (2), answer: C, pred: C, response: C
id: KIIP_economy_37 (0), answer: B, pred: B, response: B
id: KIIP_economy_37 (1), answer: B, pred: B, response: B
id: KIIP_economy_37 (2), answer: B, pred: B, response: B
id: KIIP_economy_38 (0), answer: A, pred: A, response: A
id: KIIP_economy_38 (1), answer: A, pred: A, response: A
id: KIIP_economy_38 (2), answer: A, pred: A, response: A
id: KIIP_economy_39 (0), answer: A, pred: A, response: A
id: KIIP_economy_39 (1), answer: A, pred: A, response: A
id: KIIP_economy_39 (2), answer: A, pred: A, response: A
id: KIIP_economy_40 (0), answer: C, pred: C, response: C
id: KIIP_economy_40 (1), answer: C, pred: C, response: C
id: KIIP_economy_40 (2), answer: C, pred: C, response: C
id: KIIP_economy_41 (0), answer: C, pred: C, response: C
id: KIIP_economy_41 (1), answer: C, pred: C, response: C
id: KIIP_economy_41 (2), answer: C, pred: C, response: C
id: KIIP_economy_42 (0), answer: A, pred: B, response: B
id: KIIP_economy_42 (1), answer: A, pred: B, response: B
id: KIIP_economy_42 (2), answer: A, pred: B, response: B
id: KIIP_economy_43 (0), answer: B, pred: B, response: B
id: KIIP_economy_43 (1), answer: B, pred: B, response: B
id: KIIP_economy_43 (2), answer: B, pred: B, response: B
id: KIIP_economy_44 (0), answer: A, pred: A, response: A
id: KIIP_economy_44 (1), answer: A, pred: A, response: A
id: KIIP_economy_44 (2), answer: A, pred: A, response: A
id: KIIP_economy_45 (0), answer: A, pred: A, response: A
id: KIIP_economy_45 (1), answer: A, pred: A, response: A
id: KIIP_economy_45 (2), answer: A, pred: A, response: A
id: KIIP_economy_46 (0), answer: B, pred: B, response: B
id: KIIP_economy_46 (1), answer: B, pred: B, response: B
id: KIIP_economy_46 (2), answer: B, pred: B, response: B
id: KIIP_economy_47 (0), answer: A, pred: A, response: A
id: KIIP_economy_47 (1), answer: A, pred: A, response: A
id: KIIP_economy_47 (2), answer: A, pred: A, response: A
id: KIIP_economy_48 (0), answer: A, pred: A, response: A
id: KIIP_economy_48 (1), answer: A, pred: A, response: A
id: KIIP_economy_48 (2), answer: A, pred: A, response: A
id: KIIP_economy_49 (0), answer: A, pred: A, response: A
id: KIIP_economy_49 (1), answer: A, pred: A, response: A
id: KIIP_economy_49 (2), answer: A, pred: A, response: A
id: KIIP_economy_50 (0), answer: A, pred: A, response: A
id: KIIP_economy_50 (1), answer: A, pred: A, response: A
id: KIIP_economy_50 (2), answer: A, pred: A, response: A
id: KIIP_economy_51 (0), answer: B, pred: B, response: B
id: KIIP_economy_51 (1), answer: B, pred: B, response: B
id: KIIP_economy_51 (2), answer: B, pred: B, response: B
id: KIIP_economy_52 (0), answer: D, pred: D, response: D
id: KIIP_economy_52 (1), answer: D, pred: D, response: D
id: KIIP_economy_52 (2), answer: D, pred: D, response: D
id: KIIP_economy_53 (0), answer: B, pred: B, response: B
id: KIIP_economy_53 (1), answer: B, pred: B, response: B
id: KIIP_economy_53 (2), answer: B, pred: B, response: B
id: KIIP_economy_54 (0), answer: B, pred: B, response: B
id: KIIP_economy_54 (1), answer: B, pred: B, response: B
id: KIIP_economy_54 (2), answer: B, pred: B, response: B
id: KIIP_economy_55 (0), answer: B, pred: B, response: B
id: KIIP_economy_55 (1), answer: B, pred: B, response: B
id: KIIP_economy_55 (2), answer: B, pred: B, response: B
id: KIIP_economy_56 (0), answer: A, pred: A, response: A
id: KIIP_economy_56 (1), answer: A, pred: A, response: A
id: KIIP_economy_56 (2), answer: A, pred: A, response: A
id: KIIP_economy_57 (0), answer: B, pred: B, response: B
id: KIIP_economy_57 (1), answer: B, pred: B, response: B
id: KIIP_economy_57 (2), answer: B, pred: B, response: B
id: Kedu_economy_1 (0), answer: C, pred: C, response: C
id: Kedu_economy_1 (1), answer: C, pred: C, response: C
id: Kedu_economy_1 (2), answer: C, pred: C, response: C
id: Kedu_economy_2 (0), answer: D, pred: D, response: D
id: Kedu_economy_2 (1), answer: D, pred: D, response: D
id: Kedu_economy_2 (2), answer: D, pred: D, response: D
id: CSAT_geography_06_2 (0), answer: E, pred: D, response: D: ㄴㄹ
id: CSAT_geography_06_2 (1), answer: E, pred: D, response: D: ㄴㄹ
id: CSAT_geography_06_2 (2), answer: E, pred: D, response: D: ㄴㄹ
id: CSAT_geography_07_2 (0), answer: B, pred: D, response: D
id: CSAT_geography_07_2 (1), answer: B, pred: D, response: D
id: CSAT_geography_07_2 (2), answer: B, pred: D, response: D
id: CSAT_geography_07_3 (0), answer: E, pred: E, response: E
id: CSAT_geography_07_3 (1), answer: E, pred: E, response: E
id: CSAT_geography_07_3 (2), answer: E, pred: E, response: E
id: CSAT_geography_07_4 (0), answer: B, pred: E, response: E
id: CSAT_geography_07_4 (1), answer: B, pred: E, response: E
id: CSAT_geography_07_4 (2), answer: B, pred: E, response: E
id: CSAT_geography_07_5 (0), answer: B, pred: B, response: B
id: CSAT_geography_07_5 (1), answer: B, pred: B, response: B
id: CSAT_geography_07_5 (2), answer: B, pred: B, response: B
id: CSAT_geography_07_6 (0), answer: E, pred: E, response: E
id: CSAT_geography_07_6 (1), answer: E, pred: E, response: E
id: CSAT_geography_07_6 (2), answer: E, pred: E, response: E
id: CSAT_geography_09_2 (0), answer: D, pred: B, response: B
id: CSAT_geography_09_2 (1), answer: D, pred: B, response: B
id: CSAT_geography_09_2 (2), answer: D, pred: B, response: B
id: CSAT_geography_09_3 (0), answer: B, pred: B, response: B
id: CSAT_geography_09_3 (1), answer: B, pred: B, response: B
id: CSAT_geography_09_3 (2), answer: B, pred: B, response: B
id: CSAT_geography_09_4 (0), answer: D, pred: D, response: D: ᄀ, ᄂ, ᄅ
id: CSAT_geography_09_4 (1), answer: D, pred: D, response: D
id: CSAT_geography_09_4 (2), answer: D, pred: D, response: D: ᄀ, ᄂ, ᄅ
id: CSAT_geography_09_5 (0), answer: D, pred: D, response: D: ᄂ, ᄅ
id: CSAT_geography_09_5 (1), answer: D, pred: D, response: D: ᄂ, ᄅ
id: CSAT_geography_09_5 (2), answer: D, pred: D, response: D: ᄂ, ᄅ
id: CSAT_geography_10_2 (0), answer: A, pred: B, response: B
id: CSAT_geography_10_2 (1), answer: A, pred: E, response: E
id: CSAT_geography_10_2 (2), answer: A, pred: B, response: B
id: CSAT_geography_10_3 (0), answer: B, pred: D, response: D: ᄀ, ᄃ, ᄅ
id: CSAT_geography_10_3 (1), answer: B, pred: D, response: D: ᄀ, ᄃ, ᄅ
id: CSAT_geography_10_3 (2), answer: B, pred: D, response: D: ᄀ, ᄃ, ᄅ
id: CSAT_geography_10_4 (0), answer: D, pred: D, response: D
id: CSAT_geography_10_4 (1), answer: D, pred: D, response: D
id: CSAT_geography_10_4 (2), answer: D, pred: D, response: D
id: CSAT_geography_11_2 (0), answer: D, pred: E, response: E
id: CSAT_geography_11_2 (1), answer: D, pred: E, response: E
id: CSAT_geography_11_2 (2), answer: D, pred: E, response: E
id: CSAT_geography_11_3 (0), answer: A, pred: E, response: E
id: CSAT_geography_11_3 (1), answer: A, pred: E, response: E
id: CSAT_geography_11_3 (2), answer: A, pred: E, response: E
id: CSAT_geography_12_2 (0), answer: D, pred: C, response: C
id: CSAT_geography_12_2 (1), answer: D, pred: C, response: C
id: CSAT_geography_12_2 (2), answer: D, pred: C, response: C
id: CSAT_geography_13_2 (0), answer: A, pred: A, response: A
id: CSAT_geography_13_2 (1), answer: A, pred: A, response: A
id: CSAT_geography_13_2 (2), answer: A, pred: C, response: C
id: CSAT_geography_15_2 (0), answer: B, pred: D, response: D
id: CSAT_geography_15_2 (1), answer: B, pred: D, response: D
id: CSAT_geography_15_2 (2), answer: B, pred: D, response: D
id: CSAT_geography_16_2 (0), answer: A, pred: B, response: B
id: CSAT_geography_16_2 (1), answer: A, pred: B, response: B
id: CSAT_geography_16_2 (2), answer: A, pred: B, response: B
id: CSAT_geography_16_3 (0), answer: D, pred: B, response: B: ᄀ, ᄃ
id: CSAT_geography_16_3 (1), answer: D, pred: B, response: B
id: CSAT_geography_16_3 (2), answer: D, pred: B, response: B: ᄀ, ᄃ
id: CSAT_geography_17_2 (0), answer: A, pred: B, response: B
id: CSAT_geography_17_2 (1), answer: A, pred: B, response: B
id: CSAT_geography_17_2 (2), answer: A, pred: B, response: B
id: CSAT_geography_17_3 (0), answer: C, pred: A, response: A
id: CSAT_geography_17_3 (1), answer: C, pred: A, response: A
id: CSAT_geography_17_3 (2), answer: C, pred: A, response: A
id: CSAT_geography_18_2 (0), answer: C, pred: , response: 정답 (Answer): E
id: CSAT_geography_18_2 (1), answer: C, pred: , response: 정답 (Answer): E
id: CSAT_geography_18_2 (2), answer: C, pred: , response: 정답 (Answer): E
id: CSAT_geography_19_2 (0), answer: A, pred: B, response: B
id: CSAT_geography_19_2 (1), answer: A, pred: B, response: B
id: CSAT_geography_19_2 (2), answer: A, pred: B, response: B
id: CSAT_geography_19_3 (0), answer: C, pred: C, response: C
id: CSAT_geography_19_3 (1), answer: C, pred: C, response: C
id: CSAT_geography_19_3 (2), answer: C, pred: C, response: C
id: CSAT_geography_20_2 (0), answer: D, pred: D, response: D: ᄀ, ᄂ, ᄅ
id: CSAT_geography_20_2 (1), answer: D, pred: D, response: D: ᄀ, ᄂ, ᄅ
id: CSAT_geography_20_2 (2), answer: D, pred: D, response: D: ᄀ, ᄂ, ᄅ
id: CSAT_geography_21_2 (0), answer: B, pred: A, response: A: 갑, 을
id: CSAT_geography_21_2 (1), answer: B, pred: C, response: C: 을, 병
id: CSAT_geography_21_2 (2), answer: B, pred: A, response: A: 갑, 을
id: CSAT_geography_22_2 (0), answer: D, pred: A, response: A: 갑
id: CSAT_geography_22_2 (1), answer: D, pred: A, response: A
id: CSAT_geography_22_2 (2), answer: D, pred: A, response: A: 갑
id: CSAT_geography_22_3 (0), answer: C, pred: C, response: C
id: CSAT_geography_22_3 (1), answer: C, pred: C, response: C
id: CSAT_geography_22_3 (2), answer: C, pred: C, response: C
id: CSAT_geography_22_4 (0), answer: C, pred: C, response: C
id: CSAT_geography_22_4 (1), answer: C, pred: C, response: C
id: CSAT_geography_22_4 (2), answer: C, pred: C, response: C
id: KIIP_geography_1 (0), answer: C, pred: C, response: C
id: KIIP_geography_1 (1), answer: C, pred: C, response: C
id: KIIP_geography_1 (2), answer: C, pred: C, response: C
id: KIIP_geography_2 (0), answer: B, pred: B, response: B
id: KIIP_geography_2 (1), answer: B, pred: B, response: B
id: KIIP_geography_2 (2), answer: B, pred: B, response: B
id: KIIP_geography_3 (0), answer: B, pred: B, response: B
id: KIIP_geography_3 (1), answer: B, pred: B, response: B
id: KIIP_geography_3 (2), answer: B, pred: B, response: B
id: KIIP_geography_4 (0), answer: D, pred: D, response: D
id: KIIP_geography_4 (1), answer: D, pred: D, response: D
id: KIIP_geography_4 (2), answer: D, pred: D, response: D
id: KIIP_geography_5 (0), answer: C, pred: C, response: C
id: KIIP_geography_5 (1), answer: C, pred: C, response: C
id: KIIP_geography_5 (2), answer: C, pred: C, response: C
id: KIIP_geography_6 (0), answer: D, pred: D, response: D
id: KIIP_geography_6 (1), answer: D, pred: D, response: D
id: KIIP_geography_6 (2), answer: D, pred: D, response: D
id: KIIP_geography_7 (0), answer: C, pred: C, response: C
id: KIIP_geography_7 (1), answer: C, pred: C, response: C
id: KIIP_geography_7 (2), answer: C, pred: C, response: C
id: KIIP_geography_8 (0), answer: B, pred: B, response: B
id: KIIP_geography_8 (1), answer: B, pred: B, response: B
id: KIIP_geography_8 (2), answer: B, pred: B, response: B
id: KIIP_geography_9 (0), answer: C, pred: C, response: C
id: KIIP_geography_9 (1), answer: C, pred: C, response: C
id: KIIP_geography_9 (2), answer: C, pred: C, response: C
id: KIIP_geography_10 (0), answer: A, pred: A, response: A
id: KIIP_geography_10 (1), answer: A, pred: A, response: A
id: KIIP_geography_10 (2), answer: A, pred: A, response: A
id: KIIP_geography_11 (0), answer: B, pred: B, response: B
id: KIIP_geography_11 (1), answer: B, pred: B, response: B
id: KIIP_geography_11 (2), answer: B, pred: B, response: B
id: KIIP_geography_12 (0), answer: B, pred: B, response: B
id: KIIP_geography_12 (1), answer: B, pred: B, response: B
id: KIIP_geography_12 (2), answer: B, pred: B, response: B
id: KIIP_geography_13 (0), answer: A, pred: A, response: A
id: KIIP_geography_13 (1), answer: A, pred: A, response: A
id: KIIP_geography_13 (2), answer: A, pred: A, response: A
id: KIIP_geography_14 (0), answer: A, pred: A, response: A
id: KIIP_geography_14 (1), answer: A, pred: A, response: A
id: KIIP_geography_14 (2), answer: A, pred: A, response: A
id: KIIP_geography_15 (0), answer: B, pred: B, response: B
id: KIIP_geography_15 (1), answer: B, pred: B, response: B
id: KIIP_geography_15 (2), answer: B, pred: B, response: B
id: KIIP_geography_16 (0), answer: B, pred: B, response: B
id: KIIP_geography_16 (1), answer: B, pred: B, response: B
id: KIIP_geography_16 (2), answer: B, pred: B, response: B
id: KIIP_geography_17 (0), answer: A, pred: A, response: A
id: KIIP_geography_17 (1), answer: A, pred: A, response: A
id: KIIP_geography_17 (2), answer: A, pred: A, response: A
id: KIIP_geography_18 (0), answer: A, pred: A, response: A
id: KIIP_geography_18 (1), answer: A, pred: A, response: A
id: KIIP_geography_18 (2), answer: A, pred: A, response: A
id: KIIP_geography_19 (0), answer: D, pred: D, response: D
id: KIIP_geography_19 (1), answer: D, pred: D, response: D
id: KIIP_geography_19 (2), answer: D, pred: D, response: D
id: KIIP_geography_20 (0), answer: A, pred: A, response: A
id: KIIP_geography_20 (1), answer: A, pred: A, response: A
id: KIIP_geography_20 (2), answer: A, pred: A, response: A
id: KIIP_geography_21 (0), answer: A, pred: A, response: A
id: KIIP_geography_21 (1), answer: A, pred: A, response: A
id: KIIP_geography_21 (2), answer: A, pred: A, response: A
id: KIIP_geography_22 (0), answer: A, pred: A, response: A
id: KIIP_geography_22 (1), answer: A, pred: A, response: A
id: KIIP_geography_22 (2), answer: A, pred: A, response: A
id: KIIP_geography_23 (0), answer: A, pred: A, response: A
id: KIIP_geography_23 (1), answer: A, pred: A, response: A
id: KIIP_geography_23 (2), answer: A, pred: A, response: A
id: KIIP_geography_24 (0), answer: B, pred: B, response: B
id: KIIP_geography_24 (1), answer: B, pred: B, response: B
id: KIIP_geography_24 (2), answer: B, pred: B, response: B
id: KIIP_geography_25 (0), answer: C, pred: C, response: C
id: KIIP_geography_25 (1), answer: C, pred: C, response: C
id: KIIP_geography_25 (2), answer: C, pred: C, response: C
id: KIIP_geography_26 (0), answer: D, pred: C, response: C
id: KIIP_geography_26 (1), answer: D, pred: C, response: C
id: KIIP_geography_26 (2), answer: D, pred: B, response: B
id: KIIP_geography_27 (0), answer: A, pred: B, response: B
id: KIIP_geography_27 (1), answer: A, pred: B, response: B
id: KIIP_geography_27 (2), answer: A, pred: B, response: B
id: KIIP_geography_28 (0), answer: D, pred: D, response: D
id: KIIP_geography_28 (1), answer: D, pred: D, response: D
id: KIIP_geography_28 (2), answer: D, pred: D, response: D
id: KIIP_geography_29 (0), answer: A, pred: A, response: A
id: KIIP_geography_29 (1), answer: A, pred: A, response: A
id: KIIP_geography_29 (2), answer: A, pred: A, response: A
id: KIIP_geography_30 (0), answer: D, pred: D, response: D
id: KIIP_geography_30 (1), answer: D, pred: D, response: D
id: KIIP_geography_30 (2), answer: D, pred: D, response: D
id: KIIP_geography_31 (0), answer: A, pred: A, response: A
id: KIIP_geography_31 (1), answer: A, pred: A, response: A
id: KIIP_geography_31 (2), answer: A, pred: A, response: A
id: KIIP_geography_32 (0), answer: A, pred: A, response: A
id: KIIP_geography_32 (1), answer: A, pred: A, response: A
id: KIIP_geography_32 (2), answer: A, pred: A, response: A
id: KIIP_geography_33 (0), answer: A, pred: A, response: A
id: KIIP_geography_33 (1), answer: A, pred: A, response: A
id: KIIP_geography_33 (2), answer: A, pred: A, response: A
id: KIIP_geography_34 (0), answer: A, pred: A, response: A
id: KIIP_geography_34 (1), answer: A, pred: A, response: A
id: KIIP_geography_34 (2), answer: A, pred: A, response: A
id: KIIP_geography_35 (0), answer: C, pred: C, response: C
id: KIIP_geography_35 (1), answer: C, pred: C, response: C
id: KIIP_geography_35 (2), answer: C, pred: C, response: C
id: KIIP_geography_36 (0), answer: C, pred: C, response: C
id: KIIP_geography_36 (1), answer: C, pred: C, response: C
id: KIIP_geography_36 (2), answer: C, pred: C, response: C
id: KIIP_geography_37 (0), answer: D, pred: D, response: D
id: KIIP_geography_37 (1), answer: D, pred: D, response: D
id: KIIP_geography_37 (2), answer: D, pred: D, response: D
id: KIIP_geography_38 (0), answer: B, pred: B, response: B
id: KIIP_geography_38 (1), answer: B, pred: B, response: B
id: KIIP_geography_38 (2), answer: B, pred: B, response: B
id: KIIP_geography_39 (0), answer: B, pred: B, response: B
id: KIIP_geography_39 (1), answer: B, pred: B, response: B
id: KIIP_geography_39 (2), answer: B, pred: B, response: B
id: KIIP_geography_40 (0), answer: B, pred: B, response: B
id: KIIP_geography_40 (1), answer: B, pred: B, response: B
id: KIIP_geography_40 (2), answer: B, pred: B, response: B
id: KIIP_geography_41 (0), answer: B, pred: B, response: B
id: KIIP_geography_41 (1), answer: B, pred: B, response: B
id: KIIP_geography_41 (2), answer: B, pred: B, response: B
id: KIIP_geography_42 (0), answer: B, pred: B, response: B
id: KIIP_geography_42 (1), answer: B, pred: B, response: B
id: KIIP_geography_42 (2), answer: B, pred: B, response: B
id: KIIP_geography_43 (0), answer: A, pred: A, response: A
id: KIIP_geography_43 (1), answer: A, pred: A, response: A
id: KIIP_geography_43 (2), answer: A, pred: A, response: A
id: KIIP_geography_44 (0), answer: A, pred: A, response: A
id: KIIP_geography_44 (1), answer: A, pred: A, response: A
id: KIIP_geography_44 (2), answer: A, pred: A, response: A
id: KIIP_geography_45 (0), answer: A, pred: A, response: A
id: KIIP_geography_45 (1), answer: A, pred: A, response: A
id: KIIP_geography_45 (2), answer: A, pred: A, response: A
id: KIIP_geography_46 (0), answer: A, pred: A, response: A
id: KIIP_geography_46 (1), answer: A, pred: A, response: A
id: KIIP_geography_46 (2), answer: A, pred: A, response: A
id: KIIP_geography_47 (0), answer: C, pred: C, response: C
id: KIIP_geography_47 (1), answer: C, pred: C, response: C
id: KIIP_geography_47 (2), answer: C, pred: C, response: C
id: KIIP_geography_48 (0), answer: C, pred: C, response: C
id: KIIP_geography_48 (1), answer: C, pred: C, response: C
id: KIIP_geography_48 (2), answer: C, pred: C, response: C
id: KIIP_geography_49 (0), answer: C, pred: C, response: C
id: KIIP_geography_49 (1), answer: C, pred: C, response: C
id: KIIP_geography_49 (2), answer: C, pred: C, response: C
id: KIIP_geography_50 (0), answer: A, pred: A, response: A
id: KIIP_geography_50 (1), answer: A, pred: A, response: A
id: KIIP_geography_50 (2), answer: A, pred: A, response: A
id: KIIP_geography_51 (0), answer: B, pred: B, response: B
id: KIIP_geography_51 (1), answer: B, pred: B, response: B
id: KIIP_geography_51 (2), answer: B, pred: B, response: B
id: KIIP_geography_52 (0), answer: A, pred: A, response: A
id: KIIP_geography_52 (1), answer: A, pred: A, response: A
id: KIIP_geography_52 (2), answer: A, pred: A, response: A
id: KIIP_geography_53 (0), answer: C, pred: C, response: C
id: KIIP_geography_53 (1), answer: C, pred: C, response: C
id: KIIP_geography_53 (2), answer: C, pred: C, response: C
id: KIIP_geography_54 (0), answer: B, pred: B, response: B
id: KIIP_geography_54 (1), answer: B, pred: B, response: B
id: KIIP_geography_54 (2), answer: B, pred: B, response: B
id: KIIP_geography_55 (0), answer: D, pred: D, response: D
id: KIIP_geography_55 (1), answer: D, pred: D, response: D
id: KIIP_geography_55 (2), answer: D, pred: D, response: D
id: KIIP_geography_56 (0), answer: B, pred: B, response: B
id: KIIP_geography_56 (1), answer: B, pred: B, response: B
id: KIIP_geography_56 (2), answer: B, pred: B, response: B
id: KIIP_geography_57 (0), answer: B, pred: B, response: B
id: KIIP_geography_57 (1), answer: B, pred: B, response: B
id: KIIP_geography_57 (2), answer: B, pred: B, response: B
id: KIIP_geography_58 (0), answer: D, pred: D, response: D
id: KIIP_geography_58 (1), answer: D, pred: D, response: D
id: KIIP_geography_58 (2), answer: D, pred: D, response: D
id: KIIP_geography_59 (0), answer: A, pred: A, response: A
id: KIIP_geography_59 (1), answer: A, pred: A, response: A
id: KIIP_geography_59 (2), answer: A, pred: A, response: A
id: KIIP_geography_60 (0), answer: A, pred: A, response: A
id: KIIP_geography_60 (1), answer: A, pred: A, response: A
id: KIIP_geography_60 (2), answer: A, pred: A, response: A
id: KIIP_geography_61 (0), answer: A, pred: A, response: A
id: KIIP_geography_61 (1), answer: A, pred: A, response: A
id: KIIP_geography_61 (2), answer: A, pred: A, response: A
id: KIIP_geography_62 (0), answer: C, pred: C, response: C
id: KIIP_geography_62 (1), answer: C, pred: C, response: C
id: KIIP_geography_62 (2), answer: C, pred: C, response: C
id: KIIP_geography_63 (0), answer: D, pred: D, response: D
id: KIIP_geography_63 (1), answer: D, pred: D, response: D
id: KIIP_geography_63 (2), answer: D, pred: D, response: D
id: KIIP_geography_64 (0), answer: A, pred: C, response: C
id: KIIP_geography_64 (1), answer: A, pred: A, response: A
id: KIIP_geography_64 (2), answer: A, pred: A, response: A
id: KIIP_geography_65 (0), answer: B, pred: B, response: B
id: KIIP_geography_65 (1), answer: B, pred: B, response: B
id: KIIP_geography_65 (2), answer: B, pred: B, response: B
id: KIIP_geography_66 (0), answer: B, pred: B, response: B
id: KIIP_geography_66 (1), answer: B, pred: B, response: B
id: KIIP_geography_66 (2), answer: B, pred: B, response: B
